"ID","Text","Zuschreibung","Token","Evaluation",
"EDCS-13003768","Dis Manibus sacrum Iulia Cai filia Ingen ua pia vixit annos LV Iulius Victori nus so rori pi ae fecit hic sita est","pius",,"FN",
"EDCS-13001191","Dis Manibus sacrum Canini a Catul lina pia vixit annos  Dis Manibus sacrum Quintus Lat inius Patroclus pius vixit annos LXXXV","pius","Quintus","TP",
"EDCS-14700014","Andamus Arconis situs hoc marmorem hic est situs annorum  XXX cum bona fama sua san ctusque fuit MIS   E nomine A  aeque merenti   ntina pia norus","bonus",,"TN",
"EDCS-72700154","Dis Manibus Flavia Fr ontina vixit an nos II  Flavius Fronto una cum Flavia Pin na  filia bene merenti posuit V Idus Maias Orfito et Rufo consulibus","mereo",,"FN",
"EDCS-05400915","Vivus fecit Quintus Virius Valens Quinto Vi rio Supero filio pientissi mo et sibi et Didiae Proculae uxori bene merenti quod debuit filius patri ponere filio posuit pater","mereo","uxori","TP",
"EDCS-84600016","Dis Manibus sacrum Dextrania Rogata pia vixit annos LXXXV","pius",,"FN",
"EDCS-21300167","Dis Manibus sacrum Lucio Caelio An niano vixit annis LXXXIIII Caeli Annia nus Felix Do natus Zibbie na filii eius","nascor","Felix","FP","Ausgel�st durch Zeilenumbruch"
"EDCS-11500998","Dis Manibus sacrum Annea Pompeiana Afra peregrina digna marito vixit pia annos XXXVI menses IIII dies III pia suis","pius",,"TN",
"EDCS-65600200","A anius   vixit annos LI menses   Caelia Tertulla uxor eius merenti pio fecit","pius","uxor","TP",
"EDCS-83700226","Dis Manibus sacrum Lucius Cafaloni us Fortu natus pius   annos XII","nascor",,"FN",
"EDCS-14802802","Dis Manibus Quinto Vibio Trophimo fecit Vibia Fortunata coniugi optimo bene merenti","mereo","coniugi","TP",
"EDCS-17200363","Herculi Invicto et dibus omnibus deabus que sacrum pro salute Imperatoris Luci Septimi Severi et Marco Aurelio Antoni no Caesari Augustis nnostris et Caio Fulvio Plauti ano clarissimo viro praefecto praetorio et tri bunis Aelio Monimo Trebio Germano ||centurionibus exercitatoribus Aelius Sabinianus Aurelius Titianus Genio turmae Optati ob reditum numeri votis feli cissimis Titus Flavius Res pectus Caius Severinius Vitalis Sextus Ge mellinius Pudens aram sumptu suo fecerunt dedi lt c=K gt a lt ve=RA gt runt V Idus Iunias Later ano et Rufino consulibus","clarus",,"FN","Name durch Formatierung geteilt"
"EDCS-46700003","Imperator Caesar divi Traiani Parthici filius divi Ner vae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate XVI consul III pater patriae proconsul equitibus et peditibus qui militaverunt in alis tri bus et cohortibus XII quae appellantur I Augusta Gallorum Pro culeiana et Augusta Vocontiorum et Vettonum Hispanorum et I Augusta Nerviana Germanorum |miliaria et I Celtiberorum et I Thracum et I Lingonum et I Ha miorum sagittariorum et I Morinorum et I Sunucorum et I et II Dalmatarum et III Bracaraugustanorum et IIII et V Gallorum et sunt in Britan nia sub Iulio Severo quinque et viginti sti pendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis li beris posterisque eorum civitatem dedit et conubium cum uxoribus quas tunc ha buissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea du xissent dumtaxat singuli singulas ante diem V Idus Decembres Caio Acilio Prisco Aulo Cassio Arriano consulibus cohortis I Hamiorum sagittaria cui praeest Marcus Mussius Conc lt e=L gt ssus ex pedite Longino Sesti  lt f=E gt ilio MOMS et Longino  lt f=L gt ilio eius et Sestio filio eius et Sestiae filiae eius descriptum et recognitum ex tabula ae nea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Tiberi Claudi Menandri Publi Atti Severi Titi Flavi Romuli Luci Pulli Daphni Publi Atti Festi Cai Iuli Silvani Cai Vettieni Hermetis  Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus tribunicia potestate XVI consul III pater patriae proconsul equitibus et peditibus qui militaverunt in alis III et cohortibus XII quae appellantur I Augusta Gallorum Proculeiana et Augusta Vocontiorum et Vettonum Hispanorum et I Augusta Nerviana Germanorum |miliaria et I Ce lt l=T gt tiberorum et I Thracum et I  lt L=S gt ingonum et I Hamiorum sagittariorum et I Morinorum et I Sunucorum et I et II Dalmatarum et III Bracaraugustanorum et IIII et V Gallorum et sunt in Britannia sub  lt I=L gt ulio Severo quinque et viginti stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt ipsis liberis posterisque eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli sin gulas ante diem V  lt I=L gt dus Decembres Caio Acilio Prisco Aulo Cassio Arriano consulibus cohortis I Hamiorum sagittaria cui praeest Marcus Mussius Concessus ex pedite Longino Sesti   MOMS et Longino filio eius et Sestio filio eius et Sestiae filiae eius","honestus",,"TN",
"EDCS-16201779","Lucio Pullaieno Luci filio Velina Gargilio An tiquo consuli XVviro sacris faciundis lecto in pat ricias familias a divo Commodo  praetori aedili curuli quaestori IIIviro auro argento aere flando feriundo praefecto urbi feriarum Latinarum curatori rei publicae Praenestinorum et Allifanorum decuriones popu lusque Allifanorum patrono   amantissimo  o BNEO","amans",,"FN",
"EDCS-12300327","Imperator Caesar Marcus Aurelius Antoninus Augustus Armenia cus Medicus Parthicus pontifex maximus tribunicia potestate XXI imperator V consul III et Imperator Caesar Lucius Aurelius Verus Augustus Armeniacus Medicus Parthicus maximus tribunicia potestate VII imperator V consul III patres patriae divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes divi Nervae abnepotes equitibus et peditibus qui militaverunt in alis III quae appellantur I Thracum veterana et I Britannica |miliaria civium Romanorum et I Augusta Ituraeorum et cohortibus X I Thracum Germanica civium Romanorum et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Augusta Thracum et sunt in Pannonia inferiore sub Claudio Pompeiano legato XXV pluribusve stipendiis emeritis dimissis honesta missione quorum non haberent dederunt et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dum taxat singulis  ante diem III Nonas Maias Dentiliano et Pallante consulibus alae I Thracum veteranae cui praeest Flavius Macer ex gregale Oxetio Naevionis filio Eravisco descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Imperator Caesar Marcus Aurelius Antoninus Augustus Armenia cus Medicus Parthicus pontifex maximus tribunicia potestate XXI imperator V consul III et Imperator Caesar Lucius Aurelius Verus Augustus Armeniacus Medicus Parthicus maximus tribunicia potestate VII imperator V consul III patres patriae divi Antonini filii divi Hadriani nepotes divi Traiani Par thici pronepotes divi Nervae abnepotes equitibus et peditibus qui militaverunt in alis III quae appellantur I Thracum veterana et I Britannica |miliaria civium Romanorum et I Augusta Ituraeorum et cohortibus X I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Augusta Thracum civium Romanorum et sunt in Pannonia inferiore sub Claudio Pom peiano legato quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina sub scripta sunt civitatem Romanam qui eorum non haberent dederunt et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis ante diem III Nonas Maias Quinto Caecilio Dentiliano et Marco Antonio Pallante consulibus alae I Thracum veteranae cui praeest Flavius Macer ex gregale Oxetio Naevionis filio Eravisco descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Tiberi Iuli Felicis Cai Belli Urbani Luci Pulli Primi Luci Senti Chrysogoni Cai Pomponi Statiani Luci Pulli Zosimi Publi Ocili Prisci","honestus",,"TN",
"EDCS-51400613","Utere felix","felix",,"TN",
"EDCS-33500281","Imperator Caesar divi Antonini filius divi Veri Parthici maximi frater divi Hadriani nepos divi Traiani Parthici pronepos divi Nervae abnepos Marcus Aurelius Antoninus Augustus Germanicus Sarmaticus pontifex maximus tribunicia potestate XXXII imperator VIIII consul III pater patriae et Imperator Lucius Aelius Aurelius Commodus Augustus Antonini Augusti filius divi Pii nepos divi Hadriani pronepos divi Traiani Parthici abnepos divi Nervae adnepos Germanicus Sarmaticus tribunicia potestate III imperator II consul pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur Gallorum et Thracum classiana et Augusta Vocontiorum et I Pannoniorum Sabiniana et Sebosiana Gallorum et Vettonum Hispanorum et cohortibus XVI I Augusta Nerviorum et I Frisiavonum et I Aelia Hispanorum et I fida Vardullorum et I Celtiberorum et III Lingonum et I Hispanorum et I Thracum et I Batavorum et II Gallorum veterana et II Thracum veterana et II Lingonum et IIII Gallorum et I Vangionum et VII Thracum et I Morinorum et sunt in Britannia sub Ulpio Marcello legato quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dederunt et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis","honestus",,"TN",
"EDCS-27800728","  legite hoc Remi et Quirini   militiae decus poeta dignus  nobilitate Flaviorum Pantaenus sapientia politus  vis hac ","dignus",,"TN",
"EDCS-71100006","Imperator Caesar divi Hadriani filius divi Trai ani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus patriae  Pius  pontifex maximus tribunicia potestate XX imperator II consul IIII pater equitibus et peditibus qui militaverunt in alis III quae appellantur I Commagenorum |miliaria sagittariorum et I Augusta Thr acum et I Pannoniorum Tampiana et cohortibus VI I Asturum et V Breucorum et I Flavia Brittonum et II Thracum et II Batavorum |miliaria vexillatio civium Romanorum et I Aelia Brittonum et sunt in Norico sub Usenio Secundo procuratore quinque et viginti stip endiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui  quae appellantur I Commagenorum sagittariorum |miliaria et I Augusta Thracum et I Pannoniorum Tampiana et cohortibus VI I Asturum et V Breucorum et I Flavia Brittonum et II Thracum et II Batavorum |miliaria vexillatio civium Romanorum et I Aelia Brittonum et sunt in Norico sub Usenio Secundo procuratore XXV stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent dumtaxat singulis","honestus",,"TN",
"EDCS-28700076","Sabinum et Rufum  aediles dignos rei publicae Valentinus cum discentes  suos rogat","dignus","Sabinum","TP",
"EDCS-22900371","i i    publica     arteficio aereo     publico munere     cisternam ad Silvanum     consummavit aedem restituit     consummavit tabulam Nemesianam    tironiano super posuit I    caput ex testamento   Carsulanorum lego vestibulum    ur |denarios XXV ut de eis sacrificium parentaliorum tempore quodannis faciant     committo quod si ita non fecerint ad     Carsulanorum summam supra scripta pervenire iubeo   uxori optimae univirae quae    e mecum vixit legat libertis   um ad sacrificium parentaliorum tempore quodannis faciundum     committet quod si ita sacrificium non fecerint summam supra scriptam ad    um Carsulanorum ab heredibus nostris transferri iubemus  m legamus aeni","optimus","uxori","TP",
"EDCS-12800631","Lucio Mimisio Luci liberto Privato bene merenti Attia Urbana   V","mero","Lucio","TP",
"EDCS-28700777","Holconium Priscum dignum rei publicae IIvirum Iuvenum Frugi tius","dignus",,"FN",
"EDCS-10000063","Patronus III collegiorum splen didissimae civitatis Cemenelensium Tito Decimio Titulliani filio Quirina Nepoti   sacerdoti   decurioni       et C  a Avita pare ntes filio dignis simo posuerunt locus datus decreto decurionum","dignus","filio","TP",
"EDCS-81300112"," IIvir quinquennalis mune rarius votum solvit","rarus",,"TN",
"EDCS-07900361","Imperatori Caesari Caio Iulio Vero Maximino Pio Felici Augusto Germanico maximo Dacico maximo Sarmatico maximo pontifici maximo tribunicia potestate III imperatori VI consuli proconsuli patri patriae et Caio Iulio Vero Maxi mo Germanico maximo Dacico maximo Sarmatico maximo nobilissimo Caesari nostro sub  ucciano viro clarissimo legato Augusti pro praetore cohors I Batavorum fecit curante Burrio  sto praefecto Perpetuo et Corneliano consulibus","clarus",,"TN","Fehlende Buchstaben"
"EDCS-08300498","Divinibus Ro mae Aeternae Genio provin ciae Moesiae inferioris Domitius Antigo nus vir clarissimus legatus Augusti pro praetore cum Pompeia Apa clarissima femina coniuge et Domitiis An tigono et Antigona","clarus","coniuge","TP",
"EDCS-17900040","Caeciliae Verissimae clarissimae memoriae sanctissimae feminae Atilia Rufina clarissima femina et Caesonia Victorina amicae incomparabili","incomparabilis","Verissimae","TP",
"EDCS-30000245","Ul pius Vitalis custos armorum Mer curio votum solvit libens merito","pius",,"TN",
"EDCS-05800043","Translata ex obscu ro loco curante Iunio Gallieno viro clarissimo patre patrum pontifici dei Solis Invicti curante Tito L L","clarus",,"FN",
"EDCS-11000736","Herculi sacrum Valeria Sperata Lucio Magalio Victore Caio Valerio Senecione Lucio Valerio Secundo Publio Valerio Pacato filiis votum solvit libens laeta merito","laetus",,"TN",
"EDCS-17800418","Iovi Optimo Maximo Summo Excellen tissimo Maecius Probus vir clarissimus praefectus alimentorum quod hoc in loco anceps periculum sustinuerit et bonam valetudi nem reciperaverit votum solvit","clarus","Iovi","TP",
"EDCS-11100242","Iovi Optimo Maximo Marti Propugnatori Victoriae Saluti Imperatoris Severi Alexandri Augusti nostri et Mamaeae Augustae matris eius et exercitus Marci Aureli Se veri Alexandri Pii Felicis Invicti Augusti totius que domus divinae eius legio I Minervia Pia Fidelis Severiana Ale xandriana cum auxiliis signa  rebus peractis cumque Titio Rufino clarissimo viro legato legionis eius dem agente sub Flavio Aeliano  clarissimo viro consulari nostro po nenda curavit VI Kalendas Novembres Pompeiano et Pae ligniano consulibus","clarus","Titio","TP",
"EDCS-05701097","Geminai    Festus matri    carissimae suae","carissimus","Geminai","TP",
"EDCS-18900165","Marco Aurelio Hermiati militi cohortis VIII praetoriae |centuria Apollini stipendiorum X annorum XXXI contirones heredes numero XXVIIII bene merenti natus patria Maeo nia","nascor",,"TN",
"EDCS-72900031","Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Ae lius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XIII imperator II consul IV pater patriae equitibus et peditibus exercitus Germanici Pii Fidelis qui militaverunt in alis IV et cohortibus XIV quae apellantur Noricorum et Sulpicia et Afrorum Veterana et I Thracum et I Flavia Hispanorum et I Latobicorum et Varcianorum et I Pannoniorum et Dalmatarum et II civium Romanorum et I Raetorum et VI Brittonum Pia Fidelis et II Asturum Pia Fidelis et I Classica Pia Fidelis et III et VI Breucorum et I Lucensium Pia Fidelis et II Varcianorum et VI Raetorum et IV Thracum et sunt in Germania inferiore sub Salvio Iuliano quinque et viginti item classicis sex et viginti stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut cum iis quas postea duxissent | dumtaxat singulis ante diem XIII Kalendas Decembres Caio Curtio Iusto Caio  Iulio Iuliano consulibus classis Germanicae Piae Fidelis cui praeest Marcus Ulpius Ulpianus ex gregale Velvotigerno Magiotigerni filio Brittoni descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Imperator Caesar divi Hadriani filius divi Traia ni Parthici nepos divi Nervae pronepos Titus Ae|lius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XIII imperator II consul IV pater patriae equitibus et peditibus exercitus Pii Fidelis qui militaverunt in alis IV et cohortibus XIV et sunt in Germania inferiore sub Sal vio Iuliano XXV item classicis XXVI stipendiis   misssione quorum nomina subscripta   Romanam qui eorum non habuerunt dedit   cum uxoribus quas tunc habuerunt cum   data aut cum iis quas postea   ante diem XIII Decembres Iusto et Iuliano consulibus classis Germanicae Piae Fidelis cui praeest Marcus Ulpius Ulpianus ex gregale Velvotigerno Magiotigerni filio Brittoni  Marci Servili Getae Luci Pulli Chresimi Marci Sentili Iasi Tiberi Iuli Felicis Cai Iuli Silvani Luci Pulli Velocis Publi Ocili Prisci","fidelis",,"TN",
"EDCS-07801279","Sancto Co cidio Aurunceius Felicesse mus  tribunus ex evocato votum solvit libens merito","sanctus",,"TN",
"EDCS-31500088"," Secundus et Primitiva   liberti eius bene merenti fecerunt","mero","Secundus","FP","L�cke"
"EDCS-05101172","Gelliae Verinae matri dulcissimae ac pientissimae Terentius Gellianus et Magius Verinus filii eius","pientissimus","Terentius","FP",
"EDCS-11500719","IIII Nonas Septembres in curia templi basilicae Augusti Annianae scribundo adfuerunt Quintus Granius Atticus Marcus Stlaccius Albinus Aulus Clodius Maximus Marcus Amullius Lupus Marcus Fabius Firmus quod Titus Aufidius Thrasea Tiberius Claudius Quartinus IIviri verba fecerunt de desiderio Laeli Atimeti optimi civis quid de ea re fieri placeret de ea re ita censuerunt cum Marcus Laelius Atimetus vir probissimus et singulis et universis karus petierit in ordine nostro uti solarium aedifici quod extruit in transitorio remitteretur sibi ea condicione ut ad diem vitae eius usus et fructus potestasque aedificii sui ad se pertineret postea autem rei publicae nostrae esset placere huic ordini tam gratam voluntatem optimi civis admitti remittique ei solarium cum plus ex pietate promissi eius res publica nostra postea consecutura sit in curia fuerunt numero LXXXXII","probus","Marcus","TP",
"EDCS-27800429","Heroi et Domino  matrem Romanorum subscriptorum Menia Iuliane Tiana Lucius Antonius Capito Nicomedia Caius Licinius Clemens natus Abonutichu Caius Aurelius Alexandrus natus Heraclia Claudius Secundus natus Abonutichu Caius Gabinius Modestus natus Perintho Ailius  Barbario natus Nicomedia Aurelius Vitus natus Caesar lt e=I gt a Vettius Ponticus natus Tio Fabius Paulinus natus Mazaca Titus Ailius  Pompeius natus Tio Papirius Celer natus ","nascor","Pompeius","TP",
"EDCS-76700075","Imperator Nerva Caesar Augustus pontifex maximus tribunicia potestate consul III pater patriae equitibus et peditibus qui militant in alis   et cohortibus   quae appellantur II Pannoniorum et praetoria et   I  Montanorum et II   et I Flavia Hispanorum |miliaria et   quae sunt in Moesia superiore sub   qui quina et vicena plurave stipendia meruerunt item dimissis honesta missi one emeritis stipendiis quorum nomina sub scripta sunt ipsis liberis posterisque eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas pos tea duxissent dumtaxat singuli singulas ante diem XIX Kalendas Septembres  Sexto Hermentidio Campano Lucio Domitio Apollinare consulibus cohortis II  cui praeest   Cassius   Cai Domiti Restituti Publi Lusci Amandi Tiberi Claudi    ett  Tiberi Claudi","honestus",,"TN",
